review_title,hotel_name,avg_rating,nationality,rating,review_text,tags
Very good,Novotel Brussels City Centre,8.5,Germany,8.0,Parking is problem. Difficult to parking spaces in  nearby area.,['Leisure trip~Family with young children~Superior Double Room with Sofa Beds~Stayed 1 night~Submitted via mobile']
Exceptional,Motel One Brussels,8.9,France,10.0,I like the décoration very much and the cosy atmosphere.,['']
Bait and Switch,B&B Les Hirondelles,8.1,Belgium,1.0,"People upstairs made noose until 3:00 AM,

At the last minute they moved us from this B&B to another hotel (Jolibois). This was after already taking a cash deposit from us so we had no choice but to accept the Bait and Switch.",['Leisure trip~Couple~Deluxe Double Room with Shower~Stayed 3 nights~Submitted via mobile']
Exceptional,Orbita Hotel,8.5,Ukraine,10.0,There are no comments available for this review,['Family with young children~Comfort Double Room~Stayed 2 nights~Submitted via mobile']
1 night stay,Jacques Brel Youth Hostel,8.0,Poland,7.9,"Bathroom and it's cleanliness, the basin faucet needs descaling, same for the shower faucet. Ceiling requires attention, there are dark places all over, looks like some kind of that unhealthy fungus is growing there.,

Helpfull staff, great location just 15 min from the city center, bar downstairs. Breakfast didn't give a lot of choices, but i've enjoyed it",['Leisure trip~Solo traveller~Bed in 4-Bed Male Dormitory Room~Stayed 1 night~Submitted via mobile']
Exceptional,Hotel Manitoba,9.0,United Kingdom,9.6,"Nothing,

Lots of character and charm.Staff very friendlyIn centre of town and a stone's throw from seafront.",['Leisure trip~Family with young children~Quadruple Room with Shower~Stayed 1 night~Submitted via mobile']
outstanding,Vijverhuis,9.1,United Kingdom,10.0,"nothing,

we were given a very warm welcome,the room was absolutely spotless.the view from our bedroom balcony was stunning,we will definately be returning.",['Leisure trip~Family with young children~Deluxe Double Room with Shower~Stayed 1 night']
Amazing B&B,B&B Bariseele,9.7,United Kingdom,10.0,"Friendly host, fantastic location. Spotlessly clean accommodation. Lovely breakfast each morning.",['Leisure trip~Couple~Suite with Balcony~Stayed 4 nights~Submitted via mobile']
"Simply very good ,",Hotel Van Eyck,8.7,Spain,9.6,"For me no improvements needed, just keep up the standard. Very good breakfast.,

A very nice hotel, clean and comfortable, with excellent staff.",['Leisure trip~Solo traveller~Deluxe Double Room~Stayed 2 nights~Submitted via mobile']
Exceptional,Hostel Bruegel,8.4,Taiwan,10.0,There are no comments available for this review,['Leisure trip~People with friends~Bunk Bed in Female Dormitory Room~Stayed 1 night~Submitted via mobile']
Pleasant,Hotel Du Parc,7.3,Belgium,6.3,There are no comments available for this review,['Leisure trip~Couple~Double Room~Stayed 1 night']
Fabulous,Hotel 't Putje,8.0,Ireland,8.8,There are no comments available for this review,['Leisure trip~Group~Economy Triple Room~Stayed 2 nights~Submitted via mobile']
Perfect place,Il était une fois,9.4,Lithuania,10.0,"-,

Everything was perfect, especially that we were feeling like at home.",['Leisure trip~Family with young children~Triple Room~Stayed 1 night~Submitted via mobile']
A lovely place to stay,Hotel Astoria Gent,8.5,United Kingdom,9.6,"The mattress can feel very soft to some. I normally don’t like soft mattresses but I slept like a baby on that one. Beware that the hotel is close to a train station (earplugs provided), but otherwise very quiet.,

Most helpful and welcoming staff. Wonderful breakfast (yummy jams). Very nice, spacious room and bathroom (huge shower). Massive bed with a Tempur-like like topper. Lovely little garden. Very quiet.",['Leisure trip~Solo traveller~Comfy Room~Stayed 3 nights~Submitted via mobile']
Fantastic Hotel,Hotel Fevery,9.3,Spain,10.0,This was a wonderful hotel! The staff were beyond accomodating and kind. I cannot recommend this hotel enough. The breakfast was great too!,['Business trip~Solo traveller~Comfort Double Room~Stayed 1 night~Submitted via mobile']
Good,NH Brussels EU Berlaymont,8.5,Malta,7.9,There are no comments available for this review,['Leisure trip~Solo traveller~Standard Double or Twin Room New Style~Stayed 3 nights~Submitted via mobile']
Affordable apartment close to everything,MinskLux Apartments,9.1,Finland,9.2,"-,

Everything was clean, quiet and well maintained.",['Leisure trip~Solo traveller~Studio Apartment - on Bogdanovicha street 74~Stayed 3 nights~Submitted via mobile']
Nice,Center Parcs Vossemeren,7.7,Iceland,9.6,NIce apartment and outdoor area and close by swimming pool.,['Leisure trip~Group~Premium Cottage (6 adults)~Stayed 4 nights']
Superb,NH Brussels EU Berlaymont,8.5,Spain,9.2,"The only complaint I may have is the noise coming from the courtyard, probably from the ventilation system,

Everything was very good. The staff was very nice and helpful and beds are very confortable.",['Business trip~Solo traveller~Standard Single Room New Style~Stayed 3 nights']
Superb,Hotel Adoma,7.7,Portugal,9.2,"Too expensive.,

Very good room",['Leisure trip~Couple~Suite with Hamam Shower~Stayed 1 night']
"Convenient, good breakfast, but AC is weak",Motel One Brussels,8.9,United States,9.2,"Air conditioning didn’t work well. It was warm and stuffy in the room even with the AC on max. No vent in the bathroom and bathroom door swings shut so very hot and steamy after a shower and you have to prop open the bathroom door to cool it down, which brings the hot steamy air into the already warm room.,

Breakfast was good. All you can eat for €11.50. Bed was comfortable, shower was spacious enough. Pillows and towels were plentiful.",['Leisure trip~Solo traveller~Queen Room~Stayed 2 nights~Submitted via mobile']
Exceptional,B&B De Bornedrager,9.5,United Kingdom,10.0,"Sunday breakfast staff not as good Kataline, who was awesome.,

Style and location",['Leisure trip~Couple~Suite~Stayed 3 nights~Submitted via mobile']
Good,Dansaert Hotel,8.0,Netherlands,7.9,There are no comments available for this review,['Leisure trip~Couple~Standard Double or Twin Room~Stayed 1 night~Submitted via mobile']
Exceptional,Art de Sejour - B&B,9.8,United Kingdom,10.0,"Mario and Ivan were the most welcoming hosts! Location was perfect, they were very helpful at pointing out places of interest and restuarants. Our room was large and very comfortable, with a great coffee machine and drinks selection which was refreshed daily! Breakfast was simple but refreshing, the additional sample of fresh juice every morning was delicious. The boutique b&b has been lovingly  restored,  it felt like our home from home, we loved it.",['Leisure trip~Couple~Superior Room~Stayed 3 nights~Submitted via mobile']
ENJOYABLE,Guesthouse Mirabel,9.4,United Kingdom,8.3,GREAT ROOMS NEAR CITY CENTRE FRIENDLY STAFF,['Leisure trip~Group~Suite with Garden View~Stayed 1 night']
Exceptional,Le saxo cuivré,9.4,Belgium,10.0,"Everything was perfect! Clean apartment  beauty area, amazing❤",['Leisure trip~Family with young children~One-Bedroom Apartment~Stayed 1 night~Submitted via mobile']
Very good,Hygge Hotel,8.6,United Kingdom,8.0,There are no comments available for this review,['Leisure trip~Solo traveller~Cozy Twin Room~Stayed 2 nights~Submitted via mobile']
Very good,Hotel La Caleche,8.9,Belgium,8.0,"A bit expensive ,

Excellent location and friendly staff.",['Leisure trip~Family with young children~Double or Twin Room~Stayed 3 nights~Submitted via mobile']
Great place to stay in Minsk,Hotel Minsk,8.6,Netherlands,8.8,It was the 2nd time I’ve stayed in Hotel Minsk. I’m a happy and satisfied client! Staff is great and the whole place is clean. Room service also fast and good quality.,['Leisure trip~Group~Twin Room~Stayed 2 nights~Submitted via mobile']
Exceptional,Rooms & Apartments Housingbrussels,9.0,Spain,9.6,There are no comments available for this review,['Leisure trip~Group~Apartment (4 Adults)~Stayed 2 nights']
Superb,Motel One Brussels,8.9,Bosnia and Herzegovina,9.0,"There was a minor inconvenience with WiFi in my brothers room that went out for the day. Since they were not able to get it back in order during the day, they moved my brother to another room which was a nice touch on their part.,

This is a great hotel, right in the city centre, from which we could visit all the major touristic sites on foot. The rooms are cozy, clean and well organised. When checking in there was a rather sizeable line, but the front dest crew was fast and efficient.",['Business trip~Family with young children~Queen Room~Stayed 3 nights']
Very good,Race & Rooms,7.9,Netherlands,8.0,"Lawaai in de gang,

Ligging",['Leisure trip~Couple~Double Room with Private External Bathroom~Stayed 1 night~Submitted via mobile']
Superb,Flandria Hotel,7.6,Australia,9.2,There are no comments available for this review,['Leisure trip~Couple~Double Room with Shared Bathroom~Stayed 2 nights~Submitted via mobile']
Very good relation price and accommodation,Aparthotel Adagio Access Bruxelles Europe Aparthotel,8.7,Ireland,9.6,The customer service is excellent very kind and helpful information,['Leisure trip~Couple~Studio (2 Adults)~Stayed 2 nights~Submitted via mobile']
Exceptional,Interbellum,9.8,United Kingdom,10.0,There are no comments available for this review,['Leisure trip~Family with young children~Apartment - Ground Floor~Stayed 1 night~Submitted via mobile']
Fabulous,Hotel Bourgoensch Hof,8.4,Belgium,8.8,"Great central location.  Breakfast was ok, with great views, but the restaurant was outdated.",['Business trip~Couple~Standard Room~Stayed 2 nights']
Amazing views!,La Fête au Palais,8.9,Belgium,10.0,"Everything was perfect! There was a slight odour at the bottom of the stairs.,

The view and the service was on point.",['Leisure trip~Couple~Deluxe Double or Twin Room with River View~Stayed 1 night~Submitted via mobile']
Hostel in Liege,Liège Youth Hostel,8.3,Portugal,9.6,"The late check in hour (4pm);
Guests have to rent our bring their own towels, the hostel doesn’t provide it. 
,

Friendly atmosphere and nicely decorated hostel;
Very clean property with polite staff members;",['Family with young children~Bed in 4-Bed Female Dormitory Room~Stayed 1 night~Submitted via mobile']
Fabulous,Hostel Bruegel,8.4,Italy,8.8,There are no comments available for this review,['Leisure trip~Couple~Double Room~Stayed 1 night~Submitted via mobile']
